url,title,description,method,notes,keywords,locations,publication_date,cited_articles,id_query,source,full_text,quebec,done,reason_non_valid,valid_yn,dataset_relevance,dataset_location,dataset_format,Geospatial_info_dataset,Geospatial_info_repo_page_text,Geospatial_info_article_text,species,temporal_range,temporal_range_position,temporal_duration_y,temporal_duration_position,spatial_range_km2,spatial_range_position,data_type,relevant_data_type,referred_dataset,relevance_referred_dataset,Journal,publication_year,,Comments
https://doi.org/10.3390/rs12060922,"Phenology-Based Mapping of an Alien Invasive Species Using Time Series of Multispectral Satellite Data: A Case-Study with Glossy Buckthorn in Québec, Canada","Glossy buckthorn (Frangula alnus Mill.) is an alien species in Canada that is invading many forested areas. Glossy buckthorn has impacts on the biodiversity and productivity of invaded forests. Currently, we do not know much about the species’ ecology and no thorough study of its distribution in temperate forests has been performed yet. As is often the case with invasive plant species, the phenology of glossy buckthorn differs from that of other indigenous plant species found in invaded communities. In the forests of eastern Canada, the main phenological difference is a delay in the shedding of glossy buckthorn leaves, which occurs later in the fall than for other indigenous tree species found in that region. Therefore, our objective was to use that phenological characteristic to map the spatial distribution of glossy buckthorn over a portion of southern Québec, Canada, using remote sensing-based approaches. We achieved this by applying a linear temporal unmixing model to a time series of the normalized difference vegetation index (NDVI) derived from Landsat 8 Operational Land Imager (OLI) images to create a map of the probability of the occurrence of glossy buckthorn for the study area. The map resulting from the temporal unmixing model shows an agreement of 69% with field estimates of glossy buckthorn occurrence measured in 121 plots distributed over the study area. Glossy buckthorn mapping accuracy was limited by evergreen species and by the spectral and spatial resolution of the Landsat 8 OLI.",,,,,2020-03-13,,0,semantic_scholar,,,,NA,yes,No dataset,,,NA,NA,Map,Frangula alnus,2015,,,,3200,,density (cover),,,,Remote Sensing,2020,,invasive species
https://doi.org/10.1503/cmaj.201216,Policy changes and physicians opting out from Medicare in Quebec: an interrupted time-series analysis,"BACKGROUND: In all Canadian provinces, physicians can decide to either bill the provincial public system (opt in) or work privately and bill patients directly (opt out). We hypothesized that 2 policy events were associated with an increase in physicians opting out in Quebec. METHODS: The 2 policy events of interest were the 2005 Supreme Court of Canada ruling on Chaoulli v. Quebec and a regulatory clampdown forbidding double billing that was implemented by Quebec’s government in 2017. We used interrupted time-series analyses of the Quebec government’s yearly list of physicians who chose to opt out from 1994 to 2019 to analyze the relation between these events and physician billing status. RESULTS: The number of family physicians who opted out increased from 9 in 1994 to 347 in 2019. Opting out increased after the Chaoulli ruling, and our analysis suggested that between 2005 and 2019, 284 more family physicians opted out than if pre-Chaoulli trends had continued. The number of specialist physicians who opted out rose from 23 in 1994 to 150 in 2019. Our analysis suggested that an additional 69 specialist physicians opted out after the 2017 clampdown on double billing than previous trends would have predicted. INTERPRETATION: We found that the number of physicians who opted out increased in Quebec, and increases after 2 policy actions suggest an association with these policy interventions. Opting out decisions are likely important inputs into decision-making by physicians, which, in turn may influence the provision of publicly funded health care.",,,,,2021-02-16,,0,semantic_scholar,,,,no biological,no,X,,,,,,,,,,,,,,,,,,,,Non-biological related. Medicine
https://doi.org/10.1111/ECOG.05253,Climate extreme variables generated using monthly time‐series data improve predicted distributions of plant species,"Extreme weather can have significant impacts on plant species demography; however, most studies have focused on responses to a single or small number of extreme events. Long-term patterns in climate extremes, and how they have shaped contemporary distributions, have rarely been considered or tested. BIOCLIM variables that are commonly used in correlative species distribution modelling studies cannot be used to quantify climate extremes, as they are generated using long-term averages and therefore do not describe year-to-year, temporal variability. We evaluated the response of 37 plant species to base climate (long-term means, equivalent to BIOCLIM variables), variability (standard deviations) and extremes of varying return intervals (defined using quantiles) based on historical observations. These variables were generated using fine-grain (approx. 250 m), time-series temperature and precipitation data for the hottest, coldest and driest months over 39 years. Extremes provided significant additive improvements in model performance compared to base climate alone and were more consistent than variability across all species. Models that included extremes frequently showed notably different mapped predictions relative to those using base climate alone, despite often small differences in statistical performance as measured as a summary across sites. These differences in spatial patterns were most pronounced at the predicted range margins, and reflect the influence of coastal proximity, continentality, topography and orographic barriers on climate extremes. Species occupying hotter and drier locations that are exposed to severe maximum temperature extremes were associated with better predictive performance when modelled using extremes. Understanding how plant species have historically responded to climate extremes may provide valuable insights into our understanding of contemporary distributions and help to make more accurate predictions under a changing climate.",,,,,2021-02-02,,0,semantic_scholar,,,,location,no,X,,,,,,,,,,,,,,,,,,,,Australia
https://doi.org/10.1016/J.RSE.2021.112320,Plant species classification in salt marshes using phenological parameters derived from Sentinel-2 pixel-differential time-series,,,,,,2021-04-01,,0,semantic_scholar,,,,location,no,X,,,,,,,,,,,,,,,,,,,,China
https://doi.org/10.1016/j.rse.2021.112743,Mapping temperate forest tree species using dense Sentinel-2 time series,,,,,,2021-12-01,,0,semantic_scholar,,,,location,no,X,,,,,,,,,,,,,,,,,,,,Europe
https://doi.org/10.1109/JSTARS.2021.3098817,Exploitation of Time Series Sentinel-2 Data and Different Machine Learning Algorithms for Detailed Tree Species Classification,"The classification of tree species through remote sensing data is of great significance to monitoring forest disturbances, biodiversity assessment, and carbon estimation. The dense time series and a wide swath of Sentinel-2 data provided the opportunity to map tree species accurately and in a timely manner over a large area. Many current studies have applied machine learning (ML) algorithms combined with Sentinel-2 images to classify tree species, but it is still unclear, which algorithm is more effective in the automotive extraction of tree species. In this study, five ML algorithms were compared to identify the composition of tree species with multitemporal Sentinel-2 images in the JianShe forest farm, Northeast China. Three major types of deep neural networks [Conv1D, AlexNet, and long short-term memory (LSTM)] were tested to classify Sentinel-2 time series, which represent three disparate but effective strategies to apply sequential data. The other two models are support vector machine (SVM) and random forest (RF), which are renowned for extensive adoption and high performance for various remote sensing applications. The results show that the overall accuracy of neural network models is better than that of SVM and RF. The Conv1D model had the highest classification accuracy (84.19%), followed by the LSTM model (81.52%), and the AlexNet model (76.02%). For non-neural network models, RF's classification accuracy (79.04%) is higher than that of SVM (72.79%), but lower than that of Conv1D and LSTM. Therefore, the deep neural networks combined with multitemporal Sentinel-2 images can efficiently improve the accuracy of tree species classification.",,,,,2021,,0,semantic_scholar,,,,location,no,X,,,,,,,,,,,,,,,,,,,,China
https://doi.org/10.3390/rs13142716,How Spatial Resolution Affects Forest Phenology and Tree-Species Classification Based on Satellite and Up-Scaled Time-Series Images,"The distribution of forest tree species provides crucial data for regional forest management and ecological research. Although medium-high spatial resolution remote sensing images are widely used for dynamic monitoring of forest vegetation phenology and species identification, the use of multiresolution images for similar applications remains highly uncertain. Moreover, it is necessary to explore to what extent spectral variation is responsible for the discrepancies in the estimation of forest phenology and classification of various tree species when using up-scaled images. To clarify this situation, we studied the forest area in Harqin Banner in northeast China by using year-round multiple-resolution time-series images (at four spatial resolutions: 4, 10, 16, and 30 m) and eight phenological metrics of four deciduous forest tree species in 2018, to explore potential impacts of relevant results caused by various resolutions. We also investigated the effect of using up-scaled time-series images by comparing the corresponding results that use pixel-aggregation algorithms with the four spatial resolutions. The results indicate that both phenology and classification accuracy of the dominant forest tree species are markedly affected by the spatial resolution of time-series remote sensing data (p < 0.05): the spring phenology of four deciduous forest tree species first rises and then falls as the image resolution varies from 4 to 30 m; similarly, the accuracy of tree species classification increases as the image resolution varies from 4 to 10 m, and then decreases as the image resolution gradually falls to 30 m (p < 0.05). Therefore, there remains a profound discrepancy between the results obtained by up-scaled and actual remote sensing data at the given spatial resolutions (p < 0.05). The results also suggest that combining phenological metrics and time-series NDVI data can be applied to identify the regional dominant tree species across different spatial resolutions, which would help advance the use of multiscale time-series satellite data for forest resource management.",,,,,2021-07-10,,0,semantic_scholar,,,,location,no, X,,,,,,,,,,,,,,,,,,,,China
https://doi.org/10.1007/s10841-021-00353-4,"Moth species richness and diversity decline in a 30-year time series in Norway, irrespective of species’ latitudinal range extent and habitat","
 
 Insects are reported to be in decline around the globe, but long-term datasets are rare. The causes of these trends are elusive, with changes in land use and climate among the top candidates. Yet if species traits can predict rates of population change, this can help identify underlying mechanisms. If climate change is important, for example, high-latitude species may decline as temperate species expand. Land use changes, however, may impact species that rely on certain habitats.
 
 
 We present 30 years of moth captures (comprising 97,032 individuals of 808 species) from a site in southeast Norway to test for population trends that are correlated with species traits. We use time series analyses and joint species distribution models combined with local climate and habitat data.
 
 
 Species richness declined by 8.2% per decade and total abundance appeared to decline as well (−9.4%, p = 0.14) but inter-annual variability was high. One-fifth of species declined, although 6% increased. Winter and summer weather were correlated with annual rates of abundance change for many species. Opposite to general expectation, many species responded negatively to higher summer and winter temperatures. Surprisingly, species’ northern range limits and the habitat in which their food plants grew were not strong predictors of their time trends or their responses to climatic variation. Complex and indirect effects of both land use and climate change may play a role in these declines.
 
 
 Our results provide additional evidence for long-term declines in insect abundance. The multifaceted causes of population changes may limit the ability of species traits to reveal which species are most at risk.
",,,,,2021-10-25,,0,semantic_scholar,,,,location,no, X,,,,,,,,,,,,,,,,,,,,Norway
https://doi.org/10.1093/OXFORDJOURNALS.MOLBEV.A004014,A comparative mitogenomic analysis of the potential adaptive value of Arctic charr mtDNA introgression in brook charr populations (Salvelinus fontinalis Mitchill).,"Wild brook charr populations (Salvelinus fontinalis) completely introgressed with the mitochondrial genome (mtDNA) of arctic charr (Salvelinus alpinus) are found in several lakes of northeastern Québec, Canada. Mitochondrial respiratory enzymes of these populations are thus encoded by their own nuclear DNA and by arctic charr mtDNA. In the present study we performed a comparative sequence analysis of the whole mitochondrial genome of both brook and arctic charr to identify the distribution of mutational differences across these two genomes. This analysis revealed 47 amino acid replacements, 45 of which were confined to subunits of the NADH dehydrogenase complex (Complex I), one in the cox3 gene (Complex IV), and one in the atp8 gene (Complex V). A cladistic approach performed with brook charr, arctic charr, and two other salmonid fishes (rainbow trout [Oncorhynchus mykiss] and Atlantic salmon [Salmo salar]) revealed that only five amino acid replacements were specific to the charr comparison and not shared with the other two salmonids. In addition, five amino acid substitutions localized in the nad2 and nad5 genes denoted negative scores according to the functional properties of amino acids and, therefore, could possibly have an impact on the structure and functional properties of these mitochondrial peptides. The comparison of both brook and arctic charr mtDNA with that of rainbow trout also revealed a relatively constant mutation rate for each specific gene among species, whereas the rate was quite different among genes. This pattern held for both synonymous and nonsynonymous nucleotide positions. These results, therefore, support the hypothesis of selective constraints acting on synonymous codon usage.",,,"DNA, Mitochondrial; Amino Acids; Salmonidae; Oncorhynchus mykiss; Amino Acid Substitution; Genome, Mitochondrial; CYTOCHROME C OXIDASE; Salvelinus; Surgical Replantation; Salmo salar; Fishes; Genome; NADH dehydrogenase (ubiquinone)",,1/11/2002,,6,semantic_scholar,,,,NA,yes,No dataset,,,,NA,,"Salvelinus fontinalis, Salvelinus alpinus",,,,,,,,,,,Molecular Biology and Evolution,2002,,(Relevance article : X)
https://doi.org/10.3390/F10040325,A Conceptual Model for Forest Naturalness Assessment and Application in Quebec’s Boreal Forest,"Research Highlights: To inform eco-designers in green building conception, we propose a conceptual model for the assessment of the impact of using wood on the quality of ecosystems. Background and Objectives: The proposed model allows the assessment of the quality of ecosystems at the landscape level based on the condition of the forest and the proportion of different practices to characterize precisely the forest management strategy. The evaluation provides a numerical index, which corresponds to a suitable format to inform decision-making support tools, such as life cycle analysis. Materials and Methods: Based on the concept of naturalness, the methodology considers five naturalness characteristics (landscape context, forest composition, structure, dead wood, and regeneration process) and relies on forest inventory maps and data. An area within the boreal black spruce-feathermoss ecological domain of Quebec (Canada) was used as a case study for the development of the methodology, designed to be easily exportable. Results: In 2012, the test area had a near-natural class (naturalness index NI = 0.717). Simulation of different management strategies over 70 years shows that, considering 17.9% of strict protected areas, the naturalness index would have lost one to two classes of naturalness (out of five classes), depending on the strategy applied for the regeneration (0.206 ≤ ΔNI ≤ 0.413). Without the preservation of the protected areas, the management strategies would have further reduced the naturalness (0.274 ≤ ΔNI ≤ 0.492). Apart from exotic species plantation, the most sensitive variables are the percentage of area in irregular, old, and closed forests at time zero and the percentage of area in closed forests, late successional species groups, and modified wetlands after 70 years. Conclusions: Despite the necessity of further model and parameter validation, the use of the index makes it possible to combine the effects of different forestry management strategies and practices into one alteration gradient.",,,Forests; Parameter validation; Map; The Forest; Picea; Wetlands; Decision Making; Population Parameter; Natural regeneration; Ecosystem; Numerical analysis; Gradient; Simulation,,11/4/2019,,2,semantic_scholar,,,,NA,yes,No dataset,,,,NA,,,,,,,,,,,,,Forests,2019,,
