url,title,description,method,notes,keywords,locations,publication_date,cited_articles,id_query,source,full_text,quebec,done,reason_non_valid,valid_yn,dataset_relevance,dataset_location,dataset_format,Geospatial_info_dataset,Geospatial_info_repo_page_text,Geospatial_info_article_text,species,temporal_range,temporal_range_position,temporal_duration_y,temporal_duration_position,spatial_range_km2,spatial_range_position,data_type,relevant_data_type,referred_dataset,relevance_referred_dataset,Journal,publication_year,,Comments
https://datadryad.org/stash/dataset/doi%3A10.5061%2Fdryad.8cz8w9gr1,"Data for the detection of the boreal chorus frog (Pseudacris maculata) using environmental DNA and call surveys at 180 ponds sampled in 2017-2018 in southeastern Qu√©bec, Canada","<p>The boreal chorus frog (<em>Pseudacris maculata</em>) is at risk of extinction in parts of its range in Canada. Our objectives were to quantify the influence of local and landscape characteristics on the occurrence of the species in wetlands in southern Qu√©bec. We hypothesized that site occupancy depends on local characteristics and landscape characteristics contributing to site connectivity. We developed an environmental DNA (eDNA) method to detect the species and compared the detection probability of this method to traditional call surveys. We collected water samples at a total of 180 sites (90 in 2017, 110 in 2018), whereas we surveyed a subset of 63 sites using both eDNA and call surveys in 2018. Site occupancy varied across years, but was higher in sites where the species had been previously detected during the last 12 years by other studies. Site occupancy did not vary with other local and landscape characteristics, in part due to an apparent decrease in the number of sites occupied by the species since the last 12 years. Detection probability via eDNA (0.81; 95% CI: [0.31; 0.98]) did not differ from that of call surveys (0.62; 95% CI: [0.25; 0.89]). To identify the optimal sampling period for the boreal chorus frog, future studies should estimate the detection probability of eDNA during the breeding season and the larval development period of the species.</p>
",,,"Ecology, Herpetology, Landscape ecology",,13/9/2021,,0,dryad,,,,NA,yes,M,repository,.csv,site IDs,no,"Map, range coordinates",Pseudacris maculata,2017-2018,"source link abstract, dataset",1,NA,2250,source publication text,presence-absence,,,,NA,,,"sampling location in the main publication. In the database, they just assign an ID (1,2,3..) to each pond. As data type I only note ìpresence-absenceî, but not sure if we care about the fact that it comes from genetic data"
https://datadryad.org/stash/dataset/doi%3A10.5061%2Fdryad.1771t,Data from: Resampling method for applying density-dependent habitat selection theory to wildlife surveys,"Isodar theory can be used to evaluate fitness consequences of density-dependent habitat selection by animals. A typical habitat isodar is a regression curve plotting competitor densities in two adjacent habitats when individual fitness is equal. Despite the increasing use of habitat isodars, their application remains largely limited to areas composed of pairs of adjacent habitats that are defined a priori. We developed a resampling method that uses data from wildlife surveys to build isodars in heterogeneous landscapes without having to predefine habitat types. The method consists in randomly placing blocks over the survey area and dividing those blocks in two adjacent sub-blocks of the same size. Animal abundance is then estimated within the two sub-blocks. This process is done 100 times. Different functional forms of isodars can be investigated by relating animal abundance and differences in habitat features between sub-blocks. We applied this method to abundance data of raccoons and striped skunks, two of the main hosts of rabies virus in North America. Habitat selection by raccoons and striped skunks depended on both conspecific abundance and the difference in landscape composition and structure between sub-blocks. When conspecific abundance was low, raccoons and striped skunks favored areas with relatively high proportions of forests and anthropogenic features, respectively. Under high conspecific abundance, however, both species preferred areas with rather large corn-forest edge densities and corn field proportions. Based on random sampling techniques, we provide a robust method that is applicable to a broad range of species, including medium- to large-sized mammals with high mobility. The method is sufficiently flexible to incorporate multiple environmental covariates that can reflect key requirements of the focal species. We thus illustrate how isodar theory can be used with wildlife surveys to assess density-dependent habitat selection over large geographic extents.",,,Wildlife survey_Procyon lotor_Mephitis mephitis_Striped skunk_Raccoon_capture,,7/5/2016,,0,dryad,,,,NA,yes,M,repository,.xlsx,sample coordinates,region names,site coordinates,"Racoon, striped skunks",2008,"source publication text, dataset",<1,no,1700,no,presence-absence,,,,Plos One,,,"Inside the downloable file, they provide sparial coordinates of the sampling - spatial range calculated with Qgis using them. Are successful and nonseuccessful captures present-absence data?"
https://datadryad.org/stash/dataset/doi%3A10.5061%2Fdryad.rp77j,Data from: Strategies for a successful plant invasion: the reproduction of Phragmites australis in northeastern North America,"1. Knowing the relative contribution of vegetative propagation and sexual reproduction to the dispersal and establishment of exotic plants is crucial for devising efficient control strategies. This is particularly true for the common reed (Phragmites australis), one of the most invasive species in North America. 2. For the first time we combined in situ field observations and genetic evidence, based on two genotyping techniques, i.e., microsatellite markers (SSR) and genotyping-by-sequencing (GBS), to determine the propagation strategies of this invader at its northern distribution limit in North America, and especially in roadside ditches. 3. Field observations revealed that, in a region where the common reed is already abundant, both seeds and plant fragments contributed to the establishment of new populations. Newly established individuals originated mostly (84%) from seeds rather than fragments, but a larger proportion of individuals originating from fragments survived the second year compared to seedlings. 4. High genetic diversity among marsh and roadside common reed stands indicated the prime role of sexual reproduction for dispersal. The vast majority of genotypes were found in only one stand; such high genetic variability can only be explained by sexual reproduction. Half the surveyed stands comprised a single clone, suggesting that local expansion mainly occurred vegetatively. As the small proportion of SSR genotypes initially thought to be common between distant stands proved to be distinct (as revealed by GBS data), it is likely that all the stands examined were initially founded by genetically distinct individuals. 5. Synthesis. Our study suggests that long-distance dispersal by seeds is important for the common reed, in marshes and roadsides, while both seeds and plant fragments contribute to short-distance dispersal along roads, at least in regions where the species is already abundant. The success of this invader in North America seems to be attributable to a reproduction strategy combining the advantages of sexuality with those of vegetative propagation. Moreover, this study shows that the GBS approach strongly reduces uncertainties associated with the use of a limited number of markers. This approach is especially valuable for ecologists dealing with an ever increasing number of invaders, of which few have identified microsatellite markers.",,,genotyping-by-sequencing_Phragmites australis_road ecology_sexual reproduction_common reed_Invasion ecology_vegetative propagation_freshwater wetlands,,28/8/2016,,0,dryad,,,,NA,yes,L,repository,.xlsx,site IDs,no,"Map, geological feature name",Phragmites australis,2009,source publication text ,<1,NA,416,source publication text,EBV genetic analysis,,,,Journal of Ecology,,,The spatial range is given in km because itís a transect-like sampling 
https://datadryad.org/stash/dataset/doi%3A10.5061%2Fdryad.sf1k4m8,Data from: Black spruce (Picea mariana) colonization of subarctic snowpatches in response to warmer climate,"1.   Snowpatches are disjunct arctic ecosystems scattered across the Subarctic, particularly on wind-protected lee slopes, where a thick snow cover accumulates during the winter. These snow-rich treeless ecosystems are affected by delayed snowmelt, causing shorter growing seasons. Snow-tolerant plants occupy the center of subarctic snowpatches   whereas black spruce trees grow at the margins. Snowpatches have shown sporadic expansion and shrinkage phases from tree establishment and mortality linked to climatic trends. Field surveys in the Subarctic of eastern Canada are showing an afforestation process occurring in snowpatches. The origin and nature of this afforestation were investigated based on the hypothesis that tree colonization and growth were closely associated with recent changes in climate.
2.   Snowpatches were categorized in three types based on border trees: forested, semi-forested and tundra-like. In eight randomly selected snowpatches of each type, snowpatch borders and areas covered by deciduous shrubs or trees were mapped and chionophilous plants and frost-associated soil disturbances were recorded. Radial (tree-ring  ) and vertical growth were measured on stems to evaluate the impact of climate and local factors on snowpatch black spruce populations.
3.   Two waves of spruce colonization occurred in all forested and semi-forested snowpatches in the 1960s and in the 1980s to present. Spruce establishment was more frequent and abundant in recent years, near the forest margins and on moss and barren seedbeds. Expanding shrub (dwarf birch) cover inhibited spruce seedling establishment. Tree establishment and growth were positively correlated with growing season temperature and negatively correlated with annual maximum snow depth. More recently established spruce seedlings exhibited faster vertical growth than those established in the 20thcentury.
4.   Synthesis: Due to warmer conditions and earlier snowmelt in eastern Canada, black spruce trees and dwarf birch shrubs are racing through subarctic snowpatches. This afforestation could change biodiversity in the Subarctic and affect watershed dynamics through a change in snowmelt pattern. Subarctic snowpatches are climate-sensitive ecosystems of the forest-tundra landscape, forming ideal biotopes for snow-tolerant, arctic-alpine species. Further tree encroachment in snowpatches in this century is potentially a threat to plant diversity, especially chionophilous species that have no corridors to migrate towards arctic ecosystems.",,,forest-tundra_plant-climate interactions_1950-2010_Holocene_treeline_tree-ring_Subarctic_Betula glandulosa_Picea mariana_snowpatch,,27/12/2018,,0,dryad,,,,NA,yes,M,repository,.xlsx,"site coordinates, IDs",no,Map,"Black spruce, other 16 plants",1960-2000,"source link abstract, dataset",40,no,63,no,"presence-absence, density",,,,Journal of Ecology,,,Data are characteristics of the sampling sites along with some measurements on certain seedlings
https://datadryad.org/stash/dataset/doi%3A10.5061%2Fdryad.r6s1c,Data from: Continental divide: predicting climate-mediated fragmentation and biodiversity loss in the boreal forest,"Climate change threatens natural landscapes through shifting distribution and abundance of species and attendant change in the structure and function of ecosystems. However, it remains unclear how climate-mediated variation in species' environmental niche space may lead to large-scale fragmentation of species distributions, altered meta-population dynamics and gene flow, and disrupted ecosystem integrity. Such change may be especially relevant when species distributions are restricted either spatially or to a narrow environmental niche, or when environments are rapidly changing. Here, we use range-wide environmental niche models to posit that climate-mediated range fragmentation aggravates the direct effects of climate change on species in the boreal forest of North America. We show that climate change will directly alter environmental niche suitability for boreal-obligate species of trees, birds and mammals (n=12), with most species ranges becoming smaller and shifting northward through time. Importantly, species distributions will become increasingly fragmented, as characterized by smaller mean size and greater isolation of environmentally-suitable landscape patches. This loss is especially pronounced along the Ontario-Qu√©bec border, where the boreal forest is narrowest and roughly 78% of suitable niche space could disappear by 2080. Despite the diversity of taxa surveyed, patterns of range fragmentation are remarkably consistent, with our models predicting that spruce grouse (Dendragapus canadensis), boreal chickadee (Poecile hudsonicus), moose (Alces americanus) and caribou (Rangifer tarandus) could have entirely disjunct east-west population segments in North America. These findings reveal potentially dire consequences of climate change on population continuity and species diversity in the boreal forest, highlighting the need to better understand: 1) extent and primary drivers of anticipated climate-mediated range loss and fragmentation; 2) diversity of species to be affected by such change; 3) potential for rapid adaptation in the most strongly-affected areas; and 4) potential for invasion by replacement species.",,,Holocene,,25/4/2018,,0,dryad,,,,NA,yes,H,repository,GeoTIFF,no,no,no,"Dendragapus canadensis, Poecile hudsonicus, Alces americanus, Rangifer tarandus, other 8 mammals, 4 tree species, 3 bird species",1950-2000,source publication text,50,NA,24706834,source link abstract,distribution,,,,Plos One,,,They retrieve the data from GBIF and other multiple surveys to build current and future distributions. 8 of the 12 species are not mentioned in the main link page but in the datasets
https://datadryad.org/stash/dataset/doi%3A10.5061%2Fdryad.4767v,"Data from: Ecological gradients driving the distribution of four Ericaceae in boreal Quebec, Canada","Understory species play a significant role in forest ecosystem dynamics. As such, species of the Ericaceae family have a major effect on the regeneration of tree species in boreal ecosystems. It is thus imperative to understand the ecological gradients controlling their distribution and abundance, so that their impacts can be taken into account in sustainable forest management. Using innovative analytical techniques from landscape ecology, we aimed to position, along ecological gradients, four Ericaceae found in the boreal forest of Quebec (Canada) (Rhododendron groenlandicum, Kalmia angustifolia, Chamaedaphne calyculata, and Vaccinium spp), to regionalize these species into landscape units relevant to forest management, and to estimate the relative importance of several ecological drivers (climate, disturbances, stand attributes, and physical environment) that control the species distribution and abundance. We conducted our study in boreal Quebec, over a study area covering 535,355 km2. We used data from 15,339 ecological survey plots and forest maps to characterize 1422 ecological districts covering the study region. We evaluated the relative proportion of each ericaceous species and explanatory variables at the district level. Vegetation and explanatory variables matrices were used to conduct redundancy, cluster, and variation partitioning analyses. We observed that ericaceous species are mainly distributed in the western part of the study area and each species has a distinct latitudinal and longitudinal gradient distribution. On the basis of these gradients, we delimited 10 homogeneous landscape units distinct in terms of ericaceous species abundance and environmental drivers. The distribution of the ericaceous species along ecological gradients is closely related to the overlaps between the four sets of explanatory variables considered. We conclude that the studied Ericaceae occupy specific positions along ecological gradients and possess a specific abundance and distribution controlled by the integration of multiple explanatory variables.",,,Kalmia angustifolia_Anthropocene_redundancy analysis_Rhododendron groenlandicum_landscape ecology_Vaccinium angustifolium_Chamaedaphne calyculata_Vaccinium myrtilloides_ecological drivers,,11/3/2016,,3,dryad,,,,NA,yes,H,repository,.csv,no,no,Map,"Rhododendron groenlandicum, Kalmia angustifolia, Chamaedaphne calyculata, Vaccinium spp",1980-2000,source publication text,20,NA,535355,"source link abstract, source publication text",abundance,,,,Ecology and Evolution,,,
https://datadryad.org/stash/dataset/doi%3A10.5061%2Fdryad.5ff8m0q,Data from: Structural and compositional mismatch between captive and wild Atlantic salmon (Salmo salar) parrs gut microbiota highlights the relevance of integrating molecular ecology for management and conservation methods.,"Stocking methods are used in the Province of Quebec to restore Salmo salar populations. However, Atlantic salmon stocked juveniles show higher mortality rates than wild ones when introduced into nature. Hatchery environment, which greatly differs from the natural environment, is  identified as the main driver of the phenotypic mismatch between captive and wild parrs. The latter is also suspected to impact the gut microbiota composition, which can be associated with essential metabolic functions for their host. We hypothesized that hatchery raised parrs potentially recruit gut microbial communities that are different from those  recruited in the wild. This study evaluated the impacts of artificial rearing on gut microbiota composition in 0+ parrs meant for stocking in two distinct Canadian rivers: Rimouski and Malbaie (Quebec, Canada). Striking differences between hatchery and wild born parrs‚Äô gut microbiota suggest that microbiota could be another factor that could impact their survival in the targeted river, since the microbiome is narrowly related to host physiology. For instance, major commensals belonging to Enterobacteriaceae and Clostridiacea from wild parrs‚Äô gut microbiota were substituted in captive parrs by lactic acid bacteria from the Lactobacillaceae family. Overall, captive parrs host a generalist bacterial community whereas wild parrs‚Äô microbiota is much more specialized. This is the very first study demonstrating extensive impact of captive rearing on intestinal microbiota composition in Atlantic salmon intended for wild population stocking. Our results strongly suggest the need to implement microbial ecology concepts into conservation management of endangered salmon stocks supplemented with hatchery reared parrs.",,,Captive Populations_16S SSU rRNA gene_Endangered species management_Salmo salar_2013_metabarcoding sequencing_Aquaculture_Stocking,,1/6/2018,,3,dryad,,,,NA,yes,X,repository,,NA,NA,NA,Gut microbiota from atlantic salmon,,,,,,,genetic analysis,,,,Evolutionary Applications,,,
https://datadryad.org/stash/dataset/doi%3A10.5061%2Fdryad.qt30h,Data from: The phylogenetics of succession can guide restoration: an example from abandoned mine sites in the subarctic,"1. Phylogenetic tools have increasingly been used in community ecology to describe evolutionary relationships among co-occurring species. In studies of succession, such tools may allow us to identify evolutionary lineages most suited for particular stages of succession and habitat rehabilitation. However, to date these two applications have been largely separate. Here, we suggest that information on phylogenetic community structure might help inform community restoration strategies following major disturbance. 2. Our study examined phylogenetic patterns of succession based on a chronosequence of three abandoned subarctic mine spoil heaps (waste piles) dating from the early 1970s, mid-1970s and early 1980s. The vegetation at each mine site was compared to the surrounding vegetation and community structure on mines was explored assuming species pools at nested spatial scales. 3. We found that the adjacent vegetation was more phylogenetically clustered than the vegetation on the mines, with mines demonstrating weaker phylogenetic community structure. Using simulation models, we showed that phylogenetic dissimilarity between mine sites did not depart from null expectations. However, we found evidence for species sorting along abiotic gradients (slope and aspect) on the mine sites that had been abandoned for the longest. 4. Synthesis and applications. Understanding the trajectory of succession is critical for restoration efforts. Our results suggest that early colonizers represent a phylogenetically random subset of species from the local species pool. Over time there appears to be selection for particular lineages that come to be filtered across space and environment. The species most appropriate for mine site restoration might, therefore, depend on the successional stage of the community and the local species composition. For example, in later succession, it could be more beneficial to facilitate establishment of more distant relatives. Our findings can improve management practices by providing relatedness information for known successful colonizers and by informing seeding decisions with knowledge of the surrounding and regional species pools. The application of phylogenetics to restoration ecology and succession is relatively new, but it has the potential to provide novel insight into the dynamics of changing community structures during succession.",,,species pool_null models_phylogenetic beta-diversity_net-relatedness index,,13/8/2015,,3,dryad,,,,NA,yes,L,repository,.csv,administrative unit,Administrative unit,site coordinates,communities (42 spp),no,NA,no,no,"0,5",no,abundance (percent cover),,,,Journal of Applied Ecology,,,sampling location in the main publication
https://datadryad.org/stash/dataset/doi%3A10.5061%2Fdryad.63fr7,Data from: Fitness dynamics within a poplar hybrid zone: I. Prezygotic and postzygotic barriers impacting a native poplar hybrid stand.,"Hybridization and introgression are pervasive evolutionary phenomena that provide insight to the selective forces that maintain species boundaries, permit gene flow and control the direction of evolutionary change. Poplar trees (Populus L.) are well known for their ability to form viable hybrids and maintain their distinct species boundaries despite this interspecific gene flow. We sought to quantify the hybridization dynamics and postzygotic fitness within a hybrid stand of balsam poplar (Populus balsamifera L.), eastern cottonwood (P. deltoides Marsh.) and their natural hybrids to gain insight to the barriers maintaining this stable hybrid zone. We observed asymmetrical hybrid formation with P. deltoides acting as the seed parent, but with subsequent introgression biased towards P. balsamifera. Native hybrids expressed fitness traits intermediate to the parental species and were not universally unfit. That said, native hybrid seedlings were absent from the seedling population, which may indicate additional selective pressures controlling their recruitment. It is imperative that we understand the selective forces maintaining this native hybrid zone in order to quantify the impact of exotic poplar hybrids on this native system.",,,Populus deltoides_SNPs_Melampsora sp._reproductive fitness_Holocene_postzygotic fitness_Populus balsamifera,,17/3/2015,,3,dryad,,,,NA,yes,L,repository,".csv, .xlsx, .txt",no,no,Administrative unit,"Populus balsamifera, Populus deltoides, hybrids",2009-2011,source publication text,2,NA,1.36,source publication text,"EBV genetic analysis, other",,,,Ecology and Evolution,,,
https://datadryad.org/stash/dataset/doi%3A10.5061%2Fdryad.7tn01,Data from: Trait-matching and phylogeny as predictors of predator-prey interactions involving ground beetles,"With global change modifying species assemblages, our success in predicting ecosystem level consequences of these new communities will depend, in part, on our ability to understand biotic interactions. Current food web theory considers interactions between numerous species simultaneously, but descriptive models are unable to predict interactions between newly co-occurring species. Incorporating proxies such as functional traits and phylogeny into models could help infer predator/ prey interactions.
Here we used trait-matching between predator feeding traits and prey vulnerability traits, along with phylogeny (used as a proxy for chemical defence and other traits difficult to document), to infer predatory interactions using ground beetles as model organisms.
A feeding experiment was conducted involving 20 ground beetle and 115 prey species to determine which pair of species did or did not interact. Eight predator and four prey functional traits were measured directly on specimens. Then, using a modeling approach based on the matching-centrality formalism, we evaluated 511 predictive ecological models that tested different combinations of all predator and prey functional traits, and phylogenetic information.
The most parsimonious model accurately predicted 81 % of the observed realized and unrealized interactions, using phylogenetic information and the trait-matches predator biting force/ prey cuticular toughness and predator/ prey body size ratio. The best trait-based models predicted correctly >80 % which species interact (realized interactions), but predict <58 % of which species did not interact (unrealized interactions). Adding a phylogenetic term representing the evolutionary distance within each trophic level increased the ability to predict which species did not interact to >75 %.
The matching of predator biting force and prey cuticular toughness demonstrated a better predictive power than the commonly used predator/ prey body size ratio. Our novel model combining both functional traits and phylogeny extends beyond existing descriptive approaches and could represent a valuable tool to predict consumer/ resource interactions of newly introduced species and to resolve cryptic food webs.",,,networks_Matching-centrality formalism_Diplopoda_Isopoda_Carabidae_Pseudoscorpiones_Araneae_trophic interactions,,19/6/2018,,3,dryad,,,,not in the field,no,X,repository,,NA,NA,NA,20 ground beetle,,,,,,,other,,,,Functional Ecology,,,Experiment. Are traits relevant?
