doi,url,journal,title,description,publication_date,id_query,source
10.1371/journal.pone.0201924,https://www.semanticscholar.org/paper/d652e0d44c42935b4c604c793029bbe251f16f10,PLoS ONE,"Evidence for increasing densities and geographic ranges of tick species of public health significance other than Ixodes scapularis in Québec, Canada","Climate change is driving emergence and establishment of Ixodes scapularis, the main vector of Lyme disease in Québec, Canada. As for the black-legged tick, I. scapularis Say, global warming may also favor northward expansion of other species of medically important ticks. The aims of this study were to determine (1) current diversity and abundance of ticks of public health significance other than I. scapularis, (2) sex and age of the human population bitten by these ticks (3), and the seasonal and geographic pattern of their occurrence. From 2007 to 2015, twelve tick species other than I. scapularis were submitted in the Québec passive tick surveillance program. Of these 9243 ticks, 91.2% were Ixodes cookei, 4.1% were Dermacentor variabilis, 4.0% were Rhipicephalus sanguineus and 0.7% were Amblyomma americanum. The combined annual proportion of submitted I. cookei, D. variabilis, R. sanguineus and A. americanum ticks in passive surveillance rose from 6.1% in 2007 to 16.0% in 2015 and an annual growing trend was observed for each tick species. The number of municipalities where I. cookei ticks were acquired rose from 104 to 197 during the same period. Of the 862 people bitten by these ticks, 43.3% were I. cookei ticks removed from children aged < 10 years. These findings demonstrate the need for surveillance of all the tick species of medical importance in Québec, particularly because climate may increase their abundance and geographic ranges, increasing the risk to the public of the diseases they transmit.",2018,10,semantic_scholar
10.1111/J.1600-0706.2011.19953.X,https://www.semanticscholar.org/paper/b8bfdf28431d6de58d3d41fb756f1c82708653a6,,Testing masting mechanisms of boreal forest species at different stand densities,"Mast seeding is considered a reproductive trait resulting from several potential evolutionary forces. Although the mechanisms driving reproduction have been thoroughly investigated and discussed, their relative importance and possible coexistence remain an open question. Seed rain abundance and viability of balsam fir Abies balsamea, white spruce Picea glauca, and white birch Betula papyrifera were monitored during 1994–2007 along a chronosequence of developmental stages at different densities represented by four stands in the boreal forest of Quebec, Canada. The aim of the study was to verify whether seeding temporal dynamics and abundance were affected by stand density, and to test the causal relationships between the hypotheses of pollination efficiency and predator satiation. Seed rain abundance varied substantially among years and species, with the highest values being observed in 1994 and 1996, and attaining up to 28.2  103 seeds m2 year1. However, the annual dynamics of seed production was similar in the three sites with the higher densities. The greater proportions of germinating and dead seeds were observed in white birch, while balsam fir showed an average of 11.2% of damaged seeds, which were infected by larvae. The conifer species had the higher proportions of empty seeds. The causal models tested on balsam fir demonstrated that seed rain abundance influenced the amount of both viable and larval-infected seeds, although no causal relationship existed between these last two variables. The comparable and synchronous seed rain abundances observed among sites demonstrated that stand density can significantly affect the reproduction of trees, probably by limiting the access to resources, but not the annual dynamics of seeding. Pollination efficiency and predator satiation are important forces in the reproductive effort of trees and could be not mutually exclusive because both these mechanisms of natural selection synergistically coexist in driving the seeding dynamics of balsam fir.",2012,10,semantic_scholar
,https://www.semanticscholar.org/paper/8492e62a32ea3f0b5421fcd5e0752188038850b8,,"Phylogeographic analysis of an Arctic rabies host species, the red (Vulpes vulpes) and arctic (Vulpes lagopus) fox, in the Eastern Subarctic region of Canada","Rabies is a fatal disease that raises public health concerns in the Canadian Eastern Subarctic region, however, the origins and the spread of epizootics of this lethal zoonotic disease are little understood. Coloured or red (Vulpes vulpes) and arctic (Vulpes lagopus) foxes across northern Canada are considered to be the principal maintenance or reservoir hosts of rabies virus. Therefore, I studied the phylogeography of one host, the red fox, to better understand the movement of the host and compare it with virus variant distribution across the landscape. Many studies confirm the impacts of environmental changes, particularly climate change, on the migratory behaviors of both fox and rabies virus variants. Also, different geographical areas have different population densities of red and arctic foxes. This study focused on red foxes sampled from the areas of Montreal, Abitibi-Temiscamingue, James Bay, Kuujjuarapik, Umiujaq, Inukjuak, and Kuujjuaq in Quebec, and Labrador City, North West River, Port Hope Simpson and Cartwright in Labrador. A series of 15-loci microsatellite profiles were used to genetically characterize 396 foxes and determine their phylogeographic relationships with respect to the landscape. Microsatellite markers were assessed using Micro-Checker to test for null alleles, stuttering or large allele dropout. Linkage disequilibrium among all pairs of loci was evaluated with GenePop. Genetic diversity and F-statistics was measured by using Arlequin in both loci and populations. Population structure was investigated with pairwise FST measures, Analysis of Molecular Variance, and individual clustering methods such as STRUCTURE and Geneland. FIT was significant at four loci and FST was significant at all loci indicating that the loci selected are suitable for analysis. FIS was not significant in any populations. The conclusions from the phylogeographic analysis were that there are four genetic groups of red foxes in this region of Canada, consisting of one in the Montreal area, one in James Bay, and two segregating in northern Quebec and Labrador. The Abitibi region was a mixture of the Montreal and the James Bay clusters. When a northwestern locality, Churchill NB, was included and 9-locus genotypes used, there were three distinct clusters, with Churchill dominated by one, Montreal by another and a third northeastern group prevalent in northern Quebec and Labrador. James Bay was a mixture of the Churchill cluster and the northeastern one, Abitibi- Temiscamingue was a mixture of the Montreal and the Churchill clusters, and the Churchill cluster also spread into northern Quebec and Labrador. These results suggest routes by which rabies virus could be spread via red fox movement patterns, such as along the coast, or from north to south, but also suggests a possible barrier to movement further south than Montreal. This study is important because the rabies virus is still a relevant public health concern for Canadians and, as such, research contributing to its effective eradication and control is of great importance. The results from this study will be used to inform theoretical models to help predict future rabies virus transmission and spread.",2020,10,semantic_scholar
10.1139/CJZ-2015-0209,https://www.semanticscholar.org/paper/e2c4fca274557470a14930fbbbb231dda193a5f6,,"Regional patterns of habitat use by a threatened forest bird, the Bicknell’s Thrush, in Quebec","Conservation of threatened species often uses habitat models to inform management of habitat and populations. We examined habitat use by Bicknell's Thrush (Catharus bicknelli (Ridgway, 1882)), a federally ""Threatened"" species, in two Appala- chian regions, shaped by forestry activities, of southern Quebec. Within its breeding range, the species inhabits mountain tops and forests subjected to various logging activities. We assessed the role of vegetation and topography at two spatial scales, as well as spatial relationships with Swainson's Thrush (Catharus ustulatus (Nuttall, 1840)), identified as a potential competitor by some authors. In both regions, Bicknell's Thrushes were most likely to be reported at high elevations, in forest stands with high tree stem densities that underwent little or no stem reduction from forestry activities. Swainson's Thrushes were present at all sites were Bicknell's Thrushes were reported. These results are consistent with findings from studies in northeastern parts of its breeding range. We conclude that forest-stand thinning should be kept to a minimum throughout the high-elevation nesting habitat of Bicknell's Thrush.",2016,10,semantic_scholar
10.4039/tce.2017.41,https://www.semanticscholar.org/paper/ab7c458f7f3f6463547f275788c5d8ea38ba0039,Canadian Entomologist,"Temperature-manipulated dynamics and phenology of Mindarus abietinus (Hemiptera: Aphididae) in commercial Christmas tree plantations in Québec, Canada","Abstract The balsam twig aphid Mindarus abietinus Koch (Hemiptera: Aphididae) is a major pest of economic importance for the Christmas tree industry. Global warming during the 21st century could potentially increase local population densities and reinforce the pest status of this aphid in commercial fir (Abies Miller; Pinaceae) plantations in Québec, Canada. During this study, we tested the effects of a warmer environment on colony growth rates of M. abietinus and aphid morph composition during the second generation of its cycle, which is key to colony size growth and potential damage to Christmas trees. We monitored M. abietinus populations on two host fir species and one host fir variety, in order to understand the early season dynamics of this aphid and its host tree. It was possible to distinguish the two overlapping generations of winged aphids leaving colonies, which led to observing a much higher proportion of wingless daughters, produced by the stem mother, than what had previously been reported. Colony growth rates were significantly higher in a warmer environment than in the nearby plantation, suggesting that warmer temperatures in late spring and early summer may provide the suitable conditions required for M. abietinus colonies of greater density. Résumé Le puceron des pousses du sapin Mindarus abietinus Koch (Hemiptera : Aphididae) est un ravageur d’importance économique en plantations commerciales d’arbres de Noël. Au 21e siècle, le réchauffement climatique pourrait augmenter ses densités locales en plantation de sapin (Abies Miller ; Pinaceae) et renforcer son statut d’insecte ravageur au Québec, Canada. Nous avons testé expérimentalement les effets d’un environnement réchauffé sur la croissance des colonies de M. abietinus et le dimorphisme de progénitures de la fondatrice à la deuxième génération. Nous avons suivi les populations de M. abietinus sur trois arbres-hôtes du genre Abies, afin de mieux comprendre leurs interactions. Nous avons pu séparer les deux générations chevauchantes de pucerons ailés quittant les colonies, ce qui nous a permis d’observer une plus grande proportion de progénitures aptères de la fondatrice que dans les études antérieures. Le taux de croissance des colonies était plus élevé dans un environnement expérimental réchauffé que dans la plantation environnante, suggérant des conditions propices à des densités plus élevées de M. abietinus.",2017,10,semantic_scholar
10.1111/lam.12371,https://www.semanticscholar.org/paper/1a70237cc1b280363b77450ad5175dd7742b8704,Letters in Applied Microbiology,"Multiple‐locus variable‐number tandem‐repeat analysis of Francisella tularensis from Quebec, Canada","Francisella tularensis is ubiquitous in the Northern Hemisphere. Yet, little is known about the disease and its ecology within Canada as few serological studies have shown exposure to the disease and fewer case studies have been reported. This report is the first to describe the molecular subtyping of F. tularensis isolates within eastern Canada using multiple‐locus variable‐number tandem‐repeat analysis. From 1998 to 2011, a total of 73 specimens were isolated from unique human and animal sources. As expected, F. tularensis subsp. tularensis AI and F. tularensis subsp. holarctica subtypes were observed, corresponding to the known geographical division within this species. The majority of human isolates (78%) and all animal (hare) isolates were of the more virulent, AI type. Half of the B isolates were isolated from patients living in a region of Quebec where muskrat densities are known to be high. A relatively high level of marker diversity was found, suggestive of multiple introductions of the organism to the region, or more likely ongoing endemicity. There was no evidence of ongoing outbreaks or transmission, and the bulk of cases were likely due to interaction between human activity and the environment (e.g. hunting/trapping activities).",2015,10,semantic_scholar
,https://www.semanticscholar.org/paper/e249ec3458145240fb59788d34b47a3ec6fffde5,,"Regional patterns of habitat use by a threatened forest bird , the Bicknell ’ s Thrush ( Catharus bicknelli ) , in Quebec","Conservation of threatened species often uses habitat models to inform management of habitat and populations. We examined habitat use by Bicknell’s Thrush (Catharus bicknelli (Ridgway, 1882)), a federally “Threatened” species, in two Appalachian regions, shaped by forestry activities, of southern Quebec. Within its breeding range, the species inhabits mountain tops and forests subjected to various logging activities. We assessed the role of vegetation and topography at two spatial scales, as well as spatial relationships with Swainson’s Thrush (Catharus ustulatus (Nuttall, 1840)), identified as a potential competitor by some authors. In both regions, Bicknell’s Thrushes were most likely to be reported at high elevations, in forest stands with high tree stem densities that underwent little or no stem reduction from forestry activities. Swainson’s Thrushes were present at all sites were Bicknell’s Thrushes were reported. These results are consistent with findings from studies in northeastern parts of its breeding range. We conclude that forest-stand thinning should be kept to a minimum throughout the high-elevation nesting habitat of Bicknell’s Thrush.",2016,10,semantic_scholar
10.1139/Z92-144,https://www.semanticscholar.org/paper/5af8cd10d09cc403b605c15029e1aa95e8559cc3,,Size divergence and dietary partitioning enhance coexistence of two herbivorous species of Diaptomus (Copepoda: Calanoida) in some shallow Quebec lakes,"We examined the vertical and horizontal distribution patterns of Diaptomus minutus Lilljeborg and Diaptomus oregonensis Forbes in several shallow Quebec lakes where they occurred allopatrically and sympatrically within a small geographic region. Both species overlapped extensively in their vertical and temporal distributions and were found to be positively associated within and among lakes. Although size displacement could not be detected when body lengths of sympatric and allopatric populations were compared, in lakes where there was a reduction in size overlap between species, the two species coexisted at relatively high densities. This contrasted with situations where convergence in size between species was accompanied by a limited abundance of one or both diaptomids. We conducted stomach-content analyses on the sympatric populations of two of these lakes to determine if diet preference was related to copepod size divergence, and if algae were selected as a function of copepod size. We found that D. mi...",1992,10,semantic_scholar
10.1002/ece3.8695,https://www.semanticscholar.org/paper/6e5de62a2d8a133a669820241de941832419791b,Ecology and Evolution,"Impacts of spruce budworm defoliation on the habitat of woodland caribou, moose, and their main predators","Abstract Forest logging has contributed to the decline of several woodland caribou populations by causing the fragmentation of mature coniferous stands. Such habitat alterations could be worsened by spruce budworm (SBW) outbreaks. Using 6201 vegetation plots from provincial inventories conducted after the last SBW outbreak (1968–1992) in boreal forests of Québec (Canada), we investigated the influence of SBW‐caused tree defoliation and mortality on understory vegetation layers relevant to woodland caribou and its main predators. We found a positive association between severe outbreaks and the cover of most groups of understory plant species, especially in stands that were dominated by balsam fir before the outbreak, where a high canopy openness particularly benefited relatively fast‐growing deciduous plants. Such increases in early successional vegetation could provide high‐quality forage for moose, which is likely to promote higher wolf densities and increase predation pressure on caribou. SBW outbreaks may thus negatively affect woodland caribou by increasing predation risk, the main factor limiting caribou populations in managed forests. For the near future, we recommend updating the criteria used to define critical caribou habitat to consider the potential impacts of spruce budworm defoliation.",2022,10,semantic_scholar
10.4141/CJPS09174,https://www.semanticscholar.org/paper/a1a81dd918d282d6b7be5837e494874d97431b4e,,"Distribution and abundance of an allergenic weed, common ragweed (Ambrosia artemisiifolia L.), in rural settings of southern Quebec, Canada.","Common ragweed (Ambrosia artemisiifolia L.) is an important weed of urban and rural settings in eastern Canada. Where the species is abundant, its wind-dispersed pollen is responsible for most cases of allergic rhinitis or “hayfever” in August and September. Despite its adverse health effects, there is little information on the actual abundance or distribution of ragweed plants in rural settings. Ragweed surveys were therefore done in July and August (after herbicide application) in corn and soybean fields, field borders and along rural roadsides surrounding two cities in southern Quebec. Based on zero-inflated Poisson regression models, ragweed density averaged 4.1 plants m-2 (Saint-Jean-sur-Richelieu area) and 16.1 plants m-2 (Salaberry-de-Valleyfield area) along roadsides. Ragweed density in field borders (1.3 plants m-2) and fields was lower than on roadsides. Conventionally tilled fields and fields where tillage was reduced had equivalent densities of ragweed. Ragweed abundance in fields was likely r...",2010,10,semantic_scholar
