doi,url,journal,title,description,publication_date,id_query,source
,https://www.semanticscholar.org/paper/8bb942bae58e653a89766c1c43c3be59c9adecb2,,The Effects of Moose (Alces alces) Browsing on Boreal Tree Species in Norway and Quebec,......................................................................................................... 3 Sammendrag................................................................................................... 5 Introduction.................................................................................................... 7 Study questions ......................................................................................... 10 Method ........................................................................................................ 13 The study area ........................................................................................... 13 Site description.......................................................................................... 13 Experimental design................................................................................... 15 Data collection........................................................................................... 16 Data analyses ............................................................................................ 16 Results.......................................................................................................... 17 The early successional species .................................................................... 17 The intermediately preferred species .......................................................... 19 The late successional species ...................................................................... 19 Discussion ..................................................................................................... 21 Limitations of the study.............................................................................. 26 Implications for successional dynamics ....................................................... 27 Recommendations for future study and practical applications ...................... 29 Conclusion .................................................................................................... 29 Acknowledgement ........................................................................................ 29 References .................................................................................................... 30 Appendix ...................................................................................................... 35,2015,9,semantic_scholar
10.3897/zookeys.186.2469,https://www.semanticscholar.org/paper/2631aa5f2c4d58c9abf92a920eff61d7acb6e808,ZooKeys,New Staphylinidae (Coleoptera) records with new collection data from New Brunswick and an addition to the fauna of Quebec: Staphylininae,"Abstract Forty-four species of Staphylininae are newly reported from New Brunswick, bringing the total number of species known from the province to 126. Quedius criddlei (Casey) is reported for the first time from Quebec. Bisnius cephalotes (Gravenhorst) is removed from the faunal list of New Brunswick due to a lack of supporting voucher specimens. Additional locality data are presented for seven species either recently recorded from the province or with few previous records and little habitat data. We provide the first documented records of Atrecus americanus (Casey), Quedius erythrogaster Mannerheim, Quedius labradorensis labradorensis Smetana, Quedius plagiatus (Mannerheim), and Neobisnius terminalis (LeConte) from New Brunswick. Collection and habitat data are presented and discussed for all species.",2012,9,semantic_scholar
10.3897/zookeys.186.2655,https://www.semanticscholar.org/paper/8478ff6242616d1599c8113c2582523c90edea02,ZooKeys,"New Staphylinidae (Coleoptera) records with new collection data from New Brunswick, and an addition to the fauna of Quebec, Canada: Aleocharinae","Abstract Thirty-eight species of Aleocharinae are newly reported from New Brunswick, bringing the total number of species known from the province to 216. Thirty-one of these species are newly recorded for the Maritime provinces, and four of them, Phloeopora oregona Casey, Gyrophaena michigana Seevers, Gyrophaena wisconsinica Seevers, and Tomoglossa decora (Casey), are newly recorded for Canada. Tomoglossa constitutes a new generic record for Canada. Collection and habitat data for all these species are presented and discussed. Color habitus, median lobe of the aedeagus, and male tergite and sternite 8 images are presented for the first time for Phloeopora oregona, and references to illustrations are provided for all other species included in this paper. A color habitus image is presented for Tomoglossa decora.",2012,9,semantic_scholar
10.1080/00085030.2020.1820799,https://www.semanticscholar.org/paper/8abff6cb88f4d289e72f445564b3e1e0a93f3e17,,Decomposition process and arthropod succession on pig carcasses in Quebec (Canada),"Abstract Necrophagous arthropods are essential ecosystem decomposers and are important indicator species in the discipline of forensic entomology. Studies around the world have evaluated the succession of arthropods on animal carcasses, but no published data are available for the province of Quebec (Canada). The objective of this study was to evaluate the diversity of arthropods associated with pig carcasses in Quebec, and to determine the colonization sequence of the different families/species throughout the decomposition process. Three pig carcasses were deposited in a small woodland area in Trois-Rivières, in mid-June 2019. The decomposition process and the arthropod community were studied until the beginning of November (first snowfall) by visual observation, and sample collection on the carcasses, using an entomological net and pitfall traps. Five species of blow fly (Diptera: Calliphoridae) were found to lay eggs on the carcasses: Calliphora livida, C. vomitoria, Lucilia illustris, Phormia regina, and Protophormia terraenovae. Eggs/larvae of the first three species were recorded during the first week only (fresh stage-beginning of active decay), while the other two species were recorded throughout the decomposition process until the dry remains stage. Coleoptera were observed from day 0 to day 141 (end of experiment). Some families/species were associated with early stages of decomposition (e.g. Necrophila americana, Silphidae), while others were only found during the dry remains stage (e.g. Carnicops pumilio, Histeridae).",2020,9,semantic_scholar
10.3897/BDJ.8.e49450,https://www.semanticscholar.org/paper/9781c6ca0d288c9d6778ea9d9b8adfad3efa7046,Biodiversity Data Journal,The Odonata of Quebec: Specimen data from seven collections,"Abstract Background The Odonata, dragonflies and damselflies, constitute one of the more charismatic and better-studied orders of insects. The approximately 6,000 extant species on Earth can be variously found on all continents, except Antarctica. A relatively stable taxonomy, a relative ease of species identification and an aquatic immature stage has made the Odonata a taxon of interest in documenting the symptoms of global environmental change, especially at higher latitudes. The Odonata fauna of the north-temperate Canadian province of Quebec includes 150 species, many of which are at the northern limits of their geographic distribution. New information Quebec hosts multiple entomological specimen depositories, including seven publicly-accessible research collections. One of these, the University of Montreal's Ouellet-Robert Entomological Collection, houses an exceptionally large collection of Odonata. An initial specimen data capture project for this collection gathered 31,595 Quebec Odonata occurrence records, but several Quebec species were missing and geographic coverage was biased towards the Montreal region. To complement this dataset, we undertook to digitise the Odonata records of six other public research collections. They are, in order of Quebec Odonata collection size, the Laval University Entomological Collection, McGill University's Lyman Entomological Museum, the Insectarium of Montreal Research Collection, the Quebec Government's Insect Collection, Bishop's University's Insect Collection and the Laurentian Forestry Centre's René-Martineau Insectarium. Of the 40,447 total specimen occurrence records, 36,951 are identified to the species level, including 137 of the 150 species officially-recorded in Quebec and 2 non-nominotypical subspecies. We here summarise the data and highlight the strengths and weaknesses of the datasets. The complete dataset is available with this publication (Suppl. material 1), whereas the specimen data associated with each collection are available as Darwin Core archives at Canadensys.net and will be updated as appropriate.",2020,9,semantic_scholar
10.1139/B98-177,https://www.semanticscholar.org/paper/fb7465a08bfd3c497ee5e22810257f2837fe967e,,"The effects of collection date, IBA, plant gender, nutrient availability, and rooting volume on adventitious root and lateral shoot formation by Salix planifolia stem cuttings from the Ungava Bay area (Quebec, Canada)","Salix planifolia Pursh ssp. planifolia is a shrub species presenting some potential for the restoration of disturbed sites in the Canadian Arctic and Subarctic. The performance of S. planifolia stem cuttings collected in the Kuujjuaq area, northern Quebec, was evaluated in relation to sampling period, plant gender, exogenous auxin and nutrient concentration, rooting duration, watering frequency, and soil volume. Cuttings collected in August, during the active growing season, did not perform as well as those collected in June, October, or February. The only performance variables influenced by plant gender were root number and shoot biomass, for which female cuttings were superior to males. Surprisingly, the application of indole-3-butyric acid inhibited adventitious root and lateral shoot number and biomass, particularly at the highest concentration (10 000 mg·L -1 ). Increased nutrient availability enhanced root, but not shoot, growth. The best performance was observed when cuttings were grown in a relatively large soil volume (200 mL), watered frequently (twice a day), and allowed a relatively long period to root (70 days).",1998,9,semantic_scholar
10.1139/cjm-2015-0538,https://www.semanticscholar.org/paper/0eb39e0c8d1ddb80ae1d1792e8cb11622a64a09f,Canadian Journal of Microbiology (print),"Identification of Shigella flexneri isolates carrying the Shiga toxin 1-producing gene in Quebec, Canada, linked to travel to Haiti.","Shiga toxins (Stx1 and Stx2, also called verocytotoxins) are commonly associated with Shiga toxin-producing Escherichia coli (STEC) and Shigella dysenteriae type 1 (Tesh and O’Brien 1991). Recent studies have documented cases of stx carriage in other Shigella species, including S. sonnei linked to travel to Morocco (Nyholm et al. 2015) and S. flexneri with travel history to Caribbean (Gray et al. 2014, 2015). In the province of Quebec, more than 40% of Shigellosis cases are travel-related (Trepanier et al. 2014). Therefore, a retrospective laboratory study was performed by the Laboratoire de sante publique du Quebec to assess the presence of stx gene among the 210 strains of Shigella isolated between 2013 and 2014. The collection included 131 S. sonnei ,7 5S. flexneri ,3 S. boydii, and 1 S. dysenteriae type 12. Polymerase chain reaction targeting genes stx1 and stx2 was performed according to the methods of Paton and Paton (1998). Three isolates of S. flexneri isolated from stool were positive for the stx1 gene and belonged to serotype 2a (n = 2) and serotype y (n = 1). The amplified fragments were sequenced and identity was confirmed. Cases of shigellosis are systematically investigated as provincial regulations of notifiable diseases permits. The first case was a 62-year-old man of Haitian origin living in Montreal (isolate ID 123699). He was admitted to a hospital for bloody diarrhea, fever, and abdominal pain. Empirical antimicrobial treatment with ciprofloxacin was prescribed and the patient was discharged 2 days after admission. The second case was a 55-year-old man of Haitian origin living in Montreal (isolate ID 132104). Ciprofloxacin was prescribed in an outpatient clinic, where he consulted for bloody diarrhea, fever, and abdominal",2015,9,semantic_scholar
10.3897/BDJ.7.e37569,https://www.semanticscholar.org/paper/ac9c1d714b0af5a1f4cf1d12ad2978e7d499ccdc,Biodiversity Data Journal,Integrating multiple sources of biodiversity information greatly expands the range of a rare species of Hymenoptera (Vanhorniidae),"Abstract Background Vanhornia eucnemidarum Crawford is the only species of Vanhorniidae that occurs in North America. This species is rarely collected and thus the distribution is not well documented. Intending to uncover a more accurate range of this species, we assembled collection records from museums, personal collections and citizen science projects. Many of these records were non-digitised and had to be personally requested. New information Here we expand the known distribution of V. eucnemidarum to include nine new provinces and states: Manitoba, Connecticut, Oregon, Mississippi, Missouri, New Hampshire, New Jersey, Texas and Wisconsin. Although Quebec has been listed as a previous locality, the recorded province was mislabelled, so Quebec is now also officially a provincial record.",2019,9,semantic_scholar
10.1139/CJB-2016-0206,https://www.semanticscholar.org/paper/a1e124e3e10c32d180d7b2bcfffd5a09f1e3f388,,Herbarium specimens as tools to assess the impact of large herbivores on plant species,"Herbarium specimens can be used to reconstruct spatiotemporal changes in plant morphology caused by environmental pressures. The reliability of herbarium-derived data requires evaluation, because specimen collection is subject to biases. We used herbarium and field data to investigate the impact of large herbivore browsing on the size of a forb. White trillium (Trillium grandiflorum (Michaux) Salisbury) was studied because the impacts of white-tailed deer (Odocoileus virginianus Zimmermann) browsing on this species are well-known. A total of 692 herbarium specimens collected in Quebec (Canada) were used to evaluate leaf area. Leaf area values of herbarium specimens were compared with those of modern (2013, 2014) specimens collected in sites either with >8 deer per square kilometre or without deer. Flowering individuals in modern sites with deer had a significantly lower leaf area than herbarium specimens and modern specimens collected in sites without deer. The distribution of white trillium individuals i...",2017,9,semantic_scholar
,https://www.semanticscholar.org/paper/1b4f9456a5f0acbd8e13d1e2a1a3c8c964e0bf53,,Interactions between macro and micro climate and anthropogenic disturbance on the distribution of aspen near its northern edge in Quebec: implications for climate change related range expansions,"Predictions of shifting tree species distributions in boreal forests require policy that is based on a sound understanding of the principal drivers of forest response to environmental change. This research characterizes the regional distribution and abundance of trembling aspen (Populus tremuloides Michx.) near its northern range limit in northwestern Quebec, Canada, using a combination of remote sensing, geographic information systems (GIS) analysis, and ground-based techniques. Although not regionally abundant, aspen is the main deciduous tree species in this conifer dominated landscape. Regionally, the ~51,200 km2 study area has few settlements or roads, and is without industrial activity that affects the land. Most of the region is inaccessible except by foot or water travel. We utilized Landsat Thematic Mapper images from 2010 and 2011, a robust collection of ground reference data developed from aerial photography, supported by field verification (vegetation sampling) where access permitted, to construct a thematic map of 11 land cover classes. The map highlights the spatial distribution of aspen, which represents only 0.3% of the study area. Map validation indicated an overall mapping accuracy of 74%, while the aspen predicted class was assessed at over 77% accurate. The regional scale distribution of aspen stands â‰¥ 0.5 ha within the study area shows two patterns: (1) a shift toward greatest abundance on south-facing aspects with increasing latitude; and (2) a highly clustered pattern that includes concentrations in areas of human disturbance. These patterns suggest that aspen range expansion due to climate-change related warming will vary with topographic and other microclimatic factors, i.e. be a function of climate change interacting with landscapes, and that anthropogenic disturbances have the potential to influence future aspen abundance independently of climate. Forest management policies concerned with changing forest composition in these northern landscapes should recognize the potentially important role of human activity in driving the abundance of aspen. 
 
Keywords: Boreal forest ecology, climate change, land cover classification, aspen, species distribution.",2014,9,semantic_scholar
